[1783874714.796093] SYN | 172.31.11.58:57872 -> 172.65.216.67:5500
[1783874714.796926] SYN | 172.65.216.67:5500 -> 172.31.11.58:57872
[1783874714.797033] FIN/RST (FA) | 172.31.11.58:21208 -> 172.65.216.67:5500
[1783874736.079292] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:57872
[1783874738.083751] SYN | 172.31.11.58:45640 -> 172.65.216.67:5500
[1783874738.084769] SYN | 172.65.216.67:5500 -> 172.31.11.58:45640
[1783874738.084906] FIN/RST (FA) | 172.31.11.58:57872 -> 172.65.216.67:5500
[1783874761.047179] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:45640
[1783874763.049610] SYN | 172.31.11.58:30838 -> 172.65.216.67:5500
[1783874763.050421] SYN | 172.65.216.67:5500 -> 172.31.11.58:30838
[1783874763.050532] FIN/RST (FA) | 172.31.11.58:45640 -> 172.65.216.67:5500
[1783874786.097641] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:30838
[1783874788.098497] SYN | 172.31.11.58:14848 -> 172.65.216.67:5500
[1783874788.099209] SYN | 172.65.216.67:5500 -> 172.31.11.58:14848
[1783874788.099302] FIN/RST (FA) | 172.31.11.58:30838 -> 172.65.216.67:5500
[1783874811.081724] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:14848
[1783874813.083457] SYN | 172.31.11.58:54736 -> 172.65.216.67:5500
[1783874813.084296] SYN | 172.65.216.67:5500 -> 172.31.11.58:54736
[1783874813.084396] FIN/RST (FA) | 172.31.11.58:14848 -> 172.65.216.67:5500
[1783874818.804937] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:54736
[1783874820.807330] SYN | 172.31.11.58:12150 -> 172.65.216.67:5500
[1783874820.808578] SYN | 172.65.216.67:5500 -> 172.31.11.58:12150
[1783874820.808684] FIN/RST (FA) | 172.31.11.58:54736 -> 172.65.216.67:5500
[1783874829.393977] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:12150
[1783874831.396244] SYN | 172.31.11.58:27396 -> 172.65.216.67:5500
[1783874831.397126] SYN | 172.65.216.67:5500 -> 172.31.11.58:27396
[1783874831.397233] FIN/RST (FA) | 172.31.11.58:12150 -> 172.65.216.67:5500
[1783874856.038840] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:27396
